"Sample","ID","Timestamp","Berlin","Paris","London","Barcelona","Madrid","Rome","Stockholm","Amsterdam","Prague","Budapest","Lisbon","Brussels","Vienna","StPetersburg","Krakow","Riga","Istanbul","Geneva","Athens","Dublin","Purpose1","Purpose2","Purpose3","Purpose4","Purpose5","Purpose_Other","With_Whom_1","With_Whom_2","With_Whom_3","With_Whom_4","With_Whom_5","Number_of_Trips","Avg_Budget","Age","Gender","Nationality","CurrentCity","Occupation","PartnershipStatus","id_unique"
3,21,"10/1/2016 22:01",1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"",1,1,1,0,0,3,2,25,"Female","Bulgarian","Berlin","Bachelor student","in a relationship.",86
3,22,"11/1/2016 17:45",1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,"",1,0,1,0,0,4,2,25,"Male","Danish","Aarhus","Master student","in a relationship.",87
3,23,"11/1/2016 19:15",1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"",0,1,0,0,0,3,1,24,"Male","German","Berlin","Master student","single",88
3,24,"12/1/2016 8:39",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,"",1,1,1,0,0,2,1,23,"Male","Russian","Ekaterinburg","Master student","in a relationship.",89
4,1,"12/20/2015 21:22",1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,"",0,1,1,1,0,5,2,21,"Female","British","Berlin","Master student","in a relationship.",90
4,2,"12/21/2015 11:40",1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,"",0,1,1,0,0,3,1,25,"Male","German","Berlin","Master student","in a relationship.",91
4,3,"12/22/2015 11:33",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",1,1,0,1,0,4,2,25,"Female","Bulgarian","Sofiya","Employed","married.",92
4,4,"12/22/2015 14:06",1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"",0,1,0,0,0,3,3,28,"Male","German","Berlin","Employed","in a relationship.",93
4,5,"12/23/2015 14:40",1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,"",1,1,0,0,0,3,2,22,"Female","Bulgarian","Berlin","Bachelor student","in a relationship.",94
4,6,"12/23/2015 19:52",1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,0,2,3,46,"Female","German","Berlin","Employed","married.",95
4,7,"12/24/2015 9:34",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"work",1,1,0,0,1,3,2,22,"Female","Bulgarian","Sofia","Bachelor student","in a relationship.",96
4,8,"12/24/2015 12:23",1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,"",1,0,0,0,0,2,1,20,"Female","Russian","Kaliningrad","Bachelor student","single",97
4,9,"12/24/2015 13:29",1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"",0,1,0,1,1,2,2,23,"Male","German","Hamburg","Bachelor student","in a relationship.",98
4,10,"12/24/2015 13:52",1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"",0,1,0,0,0,3,2,27,"Male","German","Berlin","Master student","single",99
4,11,"12/24/2015 15:38",1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,"",1,1,1,0,1,5,1,24,"Female","German","Berlin","Master student","single",100
4,12,"12/27/2015 18:09",1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"",1,0,1,0,0,2,1,23,"Female","German","Ilmenau","Master student","married.",101
4,13,"12/27/2015 19:10",1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,"",0,1,1,0,0,5,1,23,"Female","German","Berlin","Bachelor student","in a relationship.",102
4,14,"12/27/2015 19:58",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,"",0,1,1,0,1,4,1,26,"Female","German","Berlin","Master student","in a relationship.",103
4,15,"12/27/2015 21:19",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"",1,1,1,0,0,3,3,25,"Female","Bulgarian","Berlin","Employed","single",104
4,16,"12/27/2015 21:49",1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,"",0,0,1,0,0,3,2,22,"Female","German","Stuttgart","Employed","in a relationship.",105
